"idlowongan","namalowongan","deskripsi_loker","kategorilokasi","gaji_awal","gaji_akhir","status_loker","kuota","idkategori_loker","kategori_loker"
"23","Spesialis Urusan Hukum","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ol><li><strong>Manajemen Siklus Kontrak Penuh</strong> – Menyusun dan meninjau kontrak utama seperti sewa peralatan, konstruksi, subkontrak, dan pengadaan;<br>Berpartisipasi dalam negosiasi kontrak penting, menetapkan klausul pengendalian risiko; membangun mekanisme pemantauan pelaksanaan kontrak, serta memberikan peringatan dini terhadap risiko wanprestasi.</li><li><strong>Pencegahan Risiko dan Kepatuhan</strong> – Mengidentifikasi risiko hukum dalam aspek keselamatan konstruksi, operasional peralatan, perlindungan lingkungan, ketenagakerjaan, dan lainnya;<br>Menyusun sistem kepatuhan (seperti regulasi keselamatan kerja dan standar pengelolaan peralatan khusus); menyelenggarakan pelatihan kepatuhan; serta menanggapi inspeksi dari otoritas pemerintah.</li><li><strong>Penyelesaian Sengketa</strong> – Memimpin penagihan pembayaran proyek/sewa, negosiasi kecelakaan kerja, serta klaim asuransi;<br>Mengelola perkara litigasi/arbitrase (seperti sengketa kontrak konstruksi dan tanggung jawab perdata), meminimalkan kerugian, dan menjaga reputasi perusahaan.</li><li><strong>Dukungan Proyek Utama</strong> – Berpartisipasi dalam peninjauan hukum dokumen tender dan uji tuntas proyek; memberikan analisis kelayakan hukum untuk kegiatan seperti merger &amp; akuisisi, pembiayaan sewa (leasing), dan bisnis lainnya.</li><li><strong>Dukungan Hukum Harian</strong> – Meninjau peraturan perusahaan, korespondensi eksternal, serta memberikan konsultasi hukum kepada departemen terkait; memastikan kepatuhan hukum atas dokumen internal perusahaan.</li><li><strong>Manajemen Risiko dan Kepatuhan</strong> – Mengembangkan dan mengimplementasikan sistem kepatuhan untuk memastikan operasional perusahaan sesuai dengan regulasi industri (seperti lingkungan, peralatan khusus, keselamatan kerja, ketenagakerjaan, dan keamanan data); menyelenggarakan pelatihan kepatuhan;<br>Menangani insiden keselamatan dengan memahami prosedur pelaporan, investigasi, dan penanganannya, serta terlibat dalam tindak lanjut (termasuk kemungkinan litigasi/arbitrase).</li><li><strong>Hukum Ketenagakerjaan</strong> – Memahami Undang-Undang Ketenagakerjaan, Undang-Undang Perjanjian Kerja, serta peraturan pelaksanaannya; mampu menangani isu ketenagakerjaan yang kompleks (seperti tenaga kerja berbasis proyek, outsourcing, tenaga kerja alih daya, serta kualifikasi tenaga kerja khusus), termasuk pengakuan dan kompensasi kecelakaan kerja serta sengketa ketenagakerjaan (arbitrase/litigasi).</li></ol>","Dalam Negeri","10000000","13000000","1","2","84","Legal Counsel / Lawyer"
"24","Spesialis Penjualan / Pembelian","<p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Mahir menggunakan bahasa Mandarin dan Bahasa Indonesia sebagai bahasa kerja;</li><li>Berusia 25–35 tahun, memiliki pengalaman di bidang pembelian, serta memiliki motivasi tinggi, bertanggung jawab, dan proaktif;</li><li>Mampu mengikuti arahan atasan, melakukan tindak lanjut secara cepat, serta melaporkan perkembangan pekerjaan secara berkala.</li></ul><p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li>Menjalin komunikasi dengan pemasok dan pelanggan, memantau secara ketat status pengiriman suku cadang, serta menangani permintaan suku cadang dengan cepat;</li><li>Melakukan pembelian dan pengadaan suku cadang secara proaktif berdasarkan kondisi stok di gudang.</li></ul>","Dalam Negeri","8000000","12000000","1","3","21","Sales / Account Executive"
"25","Spesialis Sumber Daya Manusia","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li><strong>Implementasi Sistem Manajemen SDM</strong> – Membantu dalam penyusunan dan pengawasan pelaksanaan sistem manajemen sumber daya manusia perusahaan (seperti rekrutmen, onboarding, offboarding, manajemen kinerja, pelatihan, kehadiran, dan lain-lain);</li><li><strong>Rekrutmen dan Penempatan</strong> – Mengelola proses rekrutmen, melakukan seleksi CV, menjadwalkan wawancara, serta mengoptimalkan kanal rekrutmen sesuai kebutuhan departemen guna memastikan posisi terisi tepat waktu;</li><li><strong>Manajemen Hubungan Karyawan</strong> – Mengelola proses masuk karyawan, masa percobaan, penandatanganan kontrak, hingga proses keluar; serta menangani perselisihan tenaga kerja, keluhan karyawan, dan isu kepegawaian lainnya;</li><li><strong>Manajemen Kehadiran dan Kompensasi</strong> – Bertanggung jawab atas pemeriksaan awal dan perhitungan data kehadiran, rekap cuti, serta data kompensasi karyawan;</li><li><strong>Manajemen Kinerja</strong> – Bekerja sama dengan atasan dalam pengelolaan penilaian kinerja, mengumpulkan data evaluasi, mengoordinasikan rapat penilaian, serta memberikan umpan balik hasil penilaian;</li><li><strong>Pelatihan dan Pengembangan</strong> – Membantu pelaksanaan pelatihan karyawan baru, pelatihan kerja, serta sosialisasi budaya perusahaan, serta mendukung implementasi rencana pengembangan karyawan;</li><li><strong>Pengelolaan Data dan Arsip Karyawan</strong> – Menyusun dan menyempurnakan file personalia karyawan, serta memperbarui dan memelihara sistem data SDM secara berkala (seperti sistem HR/DingTalk/ERP);</li><li>Melaksanakan tugas-tugas kepegawaian lainnya sesuai arahan pimpinan.</li><li><strong>Kualifikasi Pekerjaan:</strong></li><li><strong>Pendidikan</strong> – Diutamakan lulusan di bidang Manajemen Sumber Daya Manusia, Administrasi Publik, Psikologi, Manajemen Bisnis, atau bidang terkait;</li><li><strong>Pengalaman Kerja</strong> – Minimal 2 tahun pengalaman di bidang HR, diutamakan memiliki pengalaman di industri manufaktur, teknik, atau perusahaan penanaman modal asing;</li><li><strong>Pengetahuan dan Keterampilan</strong> – Memahami hukum ketenagakerjaan serta kebijakan dan regulasi terkait; menguasai perangkat lunak perkantoran dan sistem SDM (seperti Excel PivotTable dan operasional backend DingTalk); memiliki kemampuan analisis data dan pemecahan masalah yang baik;</li><li><strong>Kualifikasi Umum</strong> – Memiliki kemampuan komunikasi dan koordinasi yang baik, bertanggung jawab, mampu bekerja di bawah tekanan; memiliki integritas dan menjaga kerahasiaan; memiliki semangat kerja tim serta kemampuan kepemimpinan yang baik.</li></ul>","Dalam Negeri","6000000","8000000","1","3","68","Recruiter / Talent Acquisition"
"26","Spesialis Peralatan","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li>Melakukan pengumpulan dan verifikasi data peralatan untuk menyusun laporan dan basis data yang terstruktur,</li><li>Memperbarui data jumlah kendaraan secara berkala, memverifikasi aset proyek serta aset dalam perjalanan, menentukan status operasional kendaraan perusahaan, serta</li><li>Memastikan kesesuaian antara data administrasi dan kondisi aktual terkait jumlah peralatan di proyek maupun departemen.</li></ul><p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Menguasai perangkat lunak perkantoran (Word, Excel) serta memiliki kemampuan analisis data yang memadai;</li><li>Diutamakan memiliki latar belakang pendidikan di bidang mekanik atau teknik, atau pengalaman kerja yang relevan.</li></ul>","Dalam Negeri","6000000","8000000","1","2","80","Quality Control (QC) Inspector"
"27","Asisten Supervisor Pabrik","<ul><li>Membantu dalam pelaksanaan rencana produksi, melakukan inspeksi langsung terhadap proses dan keselamatan kerja, serta segera melaporkan setiap penyimpangan dalam produksi.</li><li>Bertanggung jawab atas kehadiran karyawan, pengelolaan 5S di area kerja, pemantauan persediaan material, serta penyusunan laporan terkait produksi.</li><li>Berkolaborasi dengan tim kualitas dan manajemen peralatan, memastikan komunikasi antar departemen berjalan efektif, serta mengawasi kegiatan di lapangan saat supervisor tidak berada di tempat.</li></ul>","Dalam Negeri","6000000","8000000","1","2","70","Personal Assistant / Secretary"
"28","Tenaga Teknis (Technical Staff)","<h4><strong>Job Description &amp; Responsibilities</strong></h4><ul><li>Melakukan pekerjaan teknis sesuai bidang (pengelasan, mesin perkakas, kelistrikan, perpipaan, dan fabrikasi lembaran logam).</li><li>Mengoperasikan peralatan kerja seperti mesin las, mesin bubut/frais, alat listrik, dan alat perpipaan.</li><li>Membaca dan memahami gambar teknik atau diagram kerja sebelum pelaksanaan tugas.</li><li>Melakukan instalasi, perbaikan, dan perawatan peralatan/mesin/sistem sesuai kebutuhan.</li><li>Memastikan hasil pekerjaan sesuai standar kualitas dan spesifikasi yang ditentukan.</li><li>Mengidentifikasi masalah teknis dan melakukan troubleshooting secara efektif.</li><li>Menjaga kondisi alat kerja agar tetap optimal dan siap digunakan.</li><li>Menerapkan prosedur keselamatan dan kesehatan kerja (K3) di lingkungan kerja.</li><li>Berkoordinasi dengan tim untuk kelancaran proses kerja dan penyelesaian proyek.</li><li>Melaporkan hasil pekerjaan serta kendala yang dihadapi kepada atasan.</li></ul>","Dalam Negeri",,,"1","2","37","Mechanical Engineer"
"29","Teknisi Produksi Kendaraan Listrik","<h3><strong>Job Description:</strong></h3><ul><li>Melakukan perakitan unit kendaraan listrik.</li><li>Mengoperasikan alat las untuk kebutuhan produksi.</li><li>Melakukan proses pengecatan unit/komponen.</li><li>Memastikan hasil pekerjaan sesuai standar kualitas perusahaan.</li><li>Menjaga kebersihan dan keselamatan area kerja.</li><li>Bekerja sesuai target produksi harian.</li></ul><h3><strong>Kualifikasi:</strong></h3><ul><li>Pria, usia 18–35 tahun.</li><li>Pendidikan minimal SMA/SMK atau sederajat.</li><li>Sehat jasmani, khususnya memiliki penglihatan yang baik.</li><li>Memiliki minat di bidang otomotif (diutamakan).</li><li>Memiliki orientasi terhadap target kerja.</li><li>Disiplin, pekerja keras, dan memiliki kemauan belajar tinggi.</li></ul><h3><strong>Informasi Lainnya:</strong></h3><ul><li>Hari kerja: Senin – Sabtu.</li><li>Jam kerja: 08.00 – 17.00 WIB.</li></ul>","Dalam Negeri","3000000","3500000","1","10","37","Mechanical Engineer"
"30","Teknisi Listrik Tegangan Rendah","<p><strong>Job Description:</strong></p><ul><li>Melakukan instalasi, perawatan, dan perbaikan sistem listrik tegangan rendah.</li><li>Membaca dan memahami gambar instalasi listrik.</li><li>Melakukan pengecekan dan troubleshooting pada sistem kelistrikan.</li><li>Memastikan instalasi sesuai standar keselamatan (K3).</li><li>Mengoperasikan peralatan kerja listrik dengan baik.</li><li>Melakukan pencatatan dan pelaporan hasil pekerjaan.</li><li>Menggunakan komputer untuk dokumentasi dan laporan kerja.</li></ul>","Dalam Negeri",,,"1","5","38","Electrical Engineer"
"31","Juru Gambar CAD (CAD Drafter)","<p><strong>Job Description:</strong></p><ul><li>Membuat dan mengembangkan gambar teknik menggunakan software CAD</li><li>Menerjemahkan konsep/desain menjadi gambar kerja detail</li><li>Melakukan revisi gambar sesuai arahan tim atau kebutuhan proyek</li><li>Menyusun dan mengarsipkan file gambar secara sistematis</li><li>Berkoordinasi dengan tim teknis untuk memastikan akurasi desain</li><li>Memastikan gambar sesuai standar dan spesifikasi teknis</li><li>Mengoperasikan komputer dan software desain (AutoCAD, dll.) dengan baik</li></ul>","Dalam Negeri",,,"1","5","28","Graphic Designer"
"32","Staf Operasional (Campaign & Aktivitas Digital)","<h3><strong>Job Description / Tanggung Jawab:</strong></h3><ul><li>Menyusun target campaign seperti GMV, volume transaksi, dan pertumbuhan pengguna</li><li>Menentukan segmentasi atau target pengguna campaign</li><li>Mendesain strategi promo/campaign (diskon, cashback, bundling, dll.)</li><li>Menyusun timeline dan jadwal pelaksanaan campaign</li><li>Mengatur dan mengelola campaign serta promo di dalam sistem</li><li>Berkoordinasi dengan tim produk untuk memastikan campaign berjalan optimal</li><li>Memantau performa campaign secara berkala</li><li>Melakukan analisis ROI (Return on Investment)</li><li>Menganalisis conversion rate (tingkat konversi)</li><li>Membuat laporan performa campaign (performance report)</li><li>Mendesain banner promosi di dalam aplikasi</li></ul><h3><strong>Kualifikasi:</strong></h3><ul><li>Pendidikan minimal SMA/SMK/D3/S1 (diutamakan bidang terkait)</li><li>Memiliki kemampuan analisa data yang baik</li><li>Terbiasa menggunakan komputer dan tools digital</li><li>Memiliki kreativitas dalam membuat campaign/promo</li><li>Mampu bekerja secara tim maupun individu</li><li>Teliti, komunikatif, dan memiliki inisiatif tinggi</li></ul><h3><strong>Informasi Lainnya:</strong></h3><ul><li>Gaji: Negosiasi saat interview</li></ul>","Dalam Negeri",,,"1","1","1","Software Engineer"
